Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
76,Overcomer,-,-,-,"$34,746,945","2,293","$34,746,945",Aug 23,Affirm Films,false
109,The Favourite,-,-,-,"$18,478,318","1,554","$34,366,783",Nov 23,-,false
104,Jojo Rabbit,-,-,-,"$21,059,726","1,173","$33,370,906",Oct 18,-,false
77,Cold Pursuit,-,-,-,"$32,138,862","2,630","$32,138,862",Feb 8,Lionsgate Films,false
110,Bombshell,-,-,-,"$18,117,885","1,721","$31,762,808",Dec 13,Lionsgate Films,false
78,Doctor Sleep,-,-,-,"$31,543,097","3,855","$31,581,712",Nov 8,Warner Bros.,false
458,Robin Hood,-,-,-,"$179,615","2,827","$30,824,628",Nov 21,Lionsgate Films,false
79,Dragon Ball Super: Broly,-,-,-,"$30,712,119","1,267","$30,712,119",Jan 16,FUNimation Entertainment,false
135,Holmes & Watson,-,-,-,"$9,324,376","2,780","$30,573,626",Dec 25,Sony Pictures Releasing,false
80,Long Shot,-,-,-,"$30,316,271","3,230","$30,316,271",May 3,Lionsgate Films,false
608,The Hate U Give,-,-,-,"$53,108","2,375","$29,719,483",Oct 5,Twentieth Century Fox,false
82,Child's Play,-,-,-,"$29,208,403","3,007","$29,208,403",Jun 21,United Artists Releasing,false
83,Ready or Not,-,-,-,"$28,714,231","2,998","$28,714,231",Aug 21,-,false
86,21 Bridges,-,-,-,"$27,747,269","2,665","$28,539,757",Nov 22,STX Entertainment,false
84,Happy Death Day 2U,-,-,-,"$28,148,130","3,212","$28,148,130",Feb 13,Universal Pictures,false
87,Midsommar,-,-,-,"$27,426,361","2,707","$27,426,361",Jul 3,A24,false
107,Cats,-,-,-,"$19,970,095","3,380","$27,166,770",Dec 20,Universal Pictures,false
89,The Art of Racing in the Rain,-,-,-,"$26,395,642","2,765","$26,395,642",Aug 9,Twentieth Century Fox,false
515,Born to Be Wild,-,-,-,"$121,961",208,"$25,978,556",Apr 8,Warner Bros.,false
90,Countdown,-,-,-,"$25,594,369","2,675","$25,621,766",Oct 25,STX Entertainment,false
95,On the Basis of Sex,-,-,-,"$22,946,065","1,957","$24,622,687",Dec 25,Focus Features,false
92,Judy,-,-,-,"$24,017,545","1,627","$24,313,888",Sep 27,Roadside Attractions,false
94,Fighting with My Family,-,-,-,"$22,958,886","2,855","$22,958,886",Feb 14,Metro-Goldwyn-Mayer (MGM),false
96,A Dog's Journey,-,-,-,"$22,782,371","3,279","$22,782,371",May 17,Universal Pictures,false
97,Booksmart,-,-,-,"$22,680,962","2,518","$22,680,962",May 24,United Artists Releasing,false
99,Stuber,-,-,-,"$22,370,452","3,050","$22,370,452",Jul 12,Twentieth Century Fox,false
111,Richard Jewell,-,-,-,"$17,822,217","2,502","$22,345,542",Dec 13,Warner Bros.,false
100,47 Meters Down: Uncaged,-,-,-,"$22,260,900","2,883","$22,260,900",Aug 16,Entertainment Studios Motion Pictures,false
101,Black and Blue,-,-,-,"$22,047,506","2,062","$22,055,313",Oct 25,Screen Gems,false
102,Hellboy,-,-,-,"$21,903,748","3,303","$21,903,748",Apr 12,Lionsgate Films,false
103,Shaft,-,-,-,"$21,360,215","2,952","$21,360,215",Jun 14,Warner Bros.,false
105,The Peanut Butter Falcon,-,-,-,"$20,457,151","1,490","$20,457,151",Aug 9,Roadside Attractions,false
106,UglyDolls,-,-,-,"$20,150,241","3,652","$20,150,241",May 3,STX Entertainment,false
108,Unplanned,-,-,-,"$19,006,109","1,516","$19,005,109",Mar 29,Pure Flix Entertainment,false
744,Galapagos,-,-,-,"$15,222",14,"$18,630,372",Oct 29,IMAX,false
125,They Shall Not Grow Old,-,-,-,"$12,253,074","1,335","$17,956,913",Dec 17,Warner Bros.,false
112,Charlie's Angels,-,-,-,"$17,756,400","3,452","$17,803,077",Nov 15,Sony Pictures Releasing,false
113,The Farewell,-,-,-,"$17,695,781",891,"$17,695,781",Jul 12,A24,false
148,Free Solo,-,-,-,"$6,300,518",483,"$17,541,090",Sep 28,National Geographic Entertainment,false
114,Brightburn,-,-,-,"$17,300,439","2,607","$17,300,439",May 24,Screen Gems,false
115,The Good Liar,-,-,-,"$16,973,279","2,454","$17,156,058",Nov 15,Warner Bros.,false
116,The Kid Who Would Be King,-,-,-,"$16,790,790","3,528","$16,790,790",Jan 25,Twentieth Century Fox,false
117,Missing Link,-,-,-,"$16,649,539","3,437","$16,649,539",Apr 12,United Artists Releasing,false
144,Mary Queen of Scots,-,-,-,"$6,742,269","1,052","$16,468,499",Dec 7,Focus Features,false
251,Mortal Engines,-,-,-,"$1,056,865","3,103","$15,951,040",Dec 14,Universal Pictures,false
446,A Beautiful Planet,-,-,-,"$190,603",155,"$15,650,615",Apr 29,IMAX,false
119,Late Night,-,-,-,"$15,499,454","2,220","$15,499,454",Jun 7,Amazon Studios,false
120,Miss Bala,-,-,-,"$15,006,824","2,203","$15,006,824",Feb 1,Sony Pictures Releasing,false
124,If Beale Street Could Talk,-,-,-,"$12,786,569","1,018","$14,915,773",Dec 14,Annapurna Pictures,false
121,The Prodigy,-,-,-,"$14,856,291","2,530","$14,856,291",Feb 8,Orion Pictures,false
430,The Possession of Hannah Grace,-,-,-,"$215,212","2,298","$14,837,422",Nov 30,Screen Gems,false
739,To the Arctic 3D,-,-,-,"$15,800",52,"$14,560,838",Apr 20,Warner Bros.,false
123,Poms,-,-,-,"$13,631,124","2,750","$13,631,124",May 10,STX Entertainment,false
126,The Kitchen,-,-,-,"$12,180,032","2,745","$12,180,032",Aug 9,Warner Bros.,false
127,After,-,-,-,"$12,138,565","2,138","$12,138,565",Apr 12,Aviron Pictures,false
128,Blinded by the Light,-,-,-,"$11,901,145","2,307","$11,901,145",Aug 16,Warner Bros.,false
571,The Old Man & the Gun,-,-,-,"$80,104","1,042","$11,277,120",Sep 28,-,false
704,Island of Lemurs: Madagascar,-,-,-,"$22,310",302,"$11,272,213",Apr 4,Warner Bros.,false
130,Dark Waters,-,-,-,"$10,633,879","2,112","$11,136,084",Nov 22,Focus Features,false
129,The Lighthouse,-,-,-,"$10,772,524",978,"$10,867,104",Oct 18,A24,false
196,Welcome to Marwen,-,-,-,"$2,405,625","1,911","$10,763,520",Dec 21,Universal Pictures,false
131,Greta,-,-,-,"$10,532,219","2,417","$10,532,219",Mar 1,Focus Features,false
133,Black Christmas,-,-,-,"$9,867,670","2,625","$10,429,730",Dec 13,Universal Pictures,false
132,The Best of Enemies,-,-,-,"$10,205,616","1,705","$10,205,616",Apr 5,STX Entertainment,false
134,Hotel Mumbai,-,-,-,"$9,651,611",930,"$9,651,611",Mar 22,Bleecker Street Media,false
229,The Wife,-,-,-,"$1,402,934",541,"$9,601,092",Aug 17,Sony Pictures Classics,false
136,Motherless Brooklyn,-,-,-,"$9,277,736","1,342","$9,277,736",Nov 1,Warner Bros.,false
137,No Manches Frida 2,-,-,-,"$9,270,920",472,"$9,270,920",Mar 15,Pantelion Films,false
138,"Where'd You Go, Bernadette",-,-,-,"$9,198,356","2,404","$9,198,356",Aug 16,United Artists Releasing,false
139,Apollo 11,-,-,-,"$9,039,891",588,"$9,039,891",Mar 1,Neon,false
236,Can You Ever Forgive Me?,-,-,-,"$1,273,561",555,"$8,803,865",Oct 19,-,false
140,Serenity,-,-,-,"$8,547,045","2,561","$8,547,045",Jan 25,Aviron Pictures,false
141,Anna,-,-,-,"$7,743,794","2,114","$7,743,794",Jun 21,Lionsgate Films,false
142,Penguins,-,-,-,"$7,699,452","1,815","$7,699,452",Apr 17,Walt Disney Studios Motion Pictures,false
766,Journey to the South Pacific,-,-,-,"$12,209",19,"$7,653,913",Nov 27,IMAX,false
599,Beautiful Boy,-,-,-,"$62,360",776,"$7,649,973",Oct 12,Amazon Studios,false
214,Pandas,-,-,-,"$1,816,106",35,"$7,574,012",Apr 6,Warner Bros.,false
143,Brittany Runs a Marathon,-,-,-,"$7,189,808","1,033","$7,189,808",Aug 23,Amazon Studios,false
752,Boy Erased,-,-,-,"$14,490",672,"$6,788,692",Nov 2,Focus Features,false
145,The Dead Don't Die,-,-,-,"$6,563,605",690,"$6,563,605",Jun 14,Focus Features,false
146,Jexi,-,-,-,"$6,546,159","2,332","$6,546,159",Oct 11,Lionsgate Films,false
147,Run the Race,-,-,-,"$6,424,420","1,075","$6,424,420",Feb 22,Roadside Attractions,false
567,Once Upon a Deadpool2018 Re-release,-,-,-,"$84,300","1,566","$6,100,309",Dec 12,Twentieth Century Fox,false
149,The Current War,-,-,-,"$5,979,540","1,082","$5,979,540",Oct 25,101 Studios,false
151,The Wandering Earth,-,-,-,"$5,875,487",129,"$5,971,413",Feb 5,-,false
150,Captive State,-,-,-,"$5,958,315","2,549","$5,958,315",Mar 15,Focus Features,false
152,Arctic Dogs,-,-,-,"$5,801,249","2,844","$5,801,249",Nov 1,Entertainment Studios Motion Pictures,false
153,Gloria Bell,-,-,-,"$5,611,123","1,127","$5,611,123",Mar 8,A24,false
154,Gully Boy,-,-,-,"$5,566,534",270,"$5,566,534",Feb 14,Viva Pictures,false
155,Stan & Ollie,-,-,-,"$5,386,243",754,"$5,470,235",Dec 28,Sony Pictures Classics,false
156,The Goldfinch,-,-,-,"$5,332,621","2,542","$5,332,621",Sep 13,Warner Bros.,false
157,Don't Let Go,-,-,-,"$5,215,062",922,"$5,215,062",Aug 30,-,false
184,Simmba,-,-,-,"$2,991,179",301,"$5,102,129",Dec 28,Reliance Big Pictures,false
158,The Mustang,-,-,-,"$5,043,620",527,"$5,043,620",Mar 15,Focus Features,false
159,The Sun Is Also a Star,-,-,-,"$4,950,029","2,073","$4,950,029",May 17,Warner Bros.,false
160,Bring the Soul: The Movie,-,-,-,"$4,809,800",873,"$4,809,800",Aug 7,Trafalgar Releasing,false
166,Menteur,-,-,-,"$4,403,322",89,"$4,697,364",Jul 12,Entertainment One,false
