"","release","theaters","total_gross","release_date"
"198","The Sun Is Also a Star","2,073","$4,950,029","May 17"
"199","Bring the Soul: The Movie","873","$4,809,800","Aug 7"
"200","Menteur","89","$4,697,364","Jul 12"
"201","Star Wars: Episode IX - The Rise of Skywalker","4,406","$515,202,542","Dec 20"
"202","Frozen II","4,440","$477,373,578","Nov 22"
"203","Joker","4,374","$335,451,311","Oct 4"
"204","Jumanji: The Next Level","4,227","$320,314,960","Dec 13"
"205","Coco","3,987","$210,460,015","Nov 22"
"206","Bad Boys for Life","3,775","$206,305,244","Jan 17"
"207","Knives Out","3,461","$165,363,234","Nov 27"
"208","1917","3,987","$159,227,644","Dec 25"
"209","Sonic the Hedgehog","4,198","$148,974,665","Feb 14"
"210","Once Upon a Time... in Hollywood","3,659","$142,502,728","Jul 26"
"211","Ford v Ferrari","3,746","$117,624,357","Nov 15"
"212","Maleficent: Mistress of Evil","3,820","$113,929,605","Oct 18"
"213","Little Women","3,308","$108,101,214","Dec 25"
"214","Hustlers","3,525","$104,963,598","Sep 13"
"215","The Addams Family","4,107","$100,044,905","Oct 11"
"216","Space Station 3D","64","$93,383,953","Apr 19"
"217","Alita: Battle Angel","3,802","$85,838,210","Feb 14"
"218","Birds of Prey","4,236","$84,158,461","Feb 7"
"219","Dolittle","4,155","$77,047,065","Jan 17"
"220","Zombieland: Double Tap","3,468","$73,123,082","Oct 18"
"221","The Invisible Man","3,636","$70,410,000","Feb 28"
"222","Spies in Disguise","3,502","$66,757,013","Dec 25"
"223","The Call of the Wild","3,914","$62,342,368","Feb 21"
"224","A Beautiful Day in the Neighborhood","3,491","$61,704,055","Nov 22"
"225","Onward","4,310","$61,555,145","Mar 6"
"226","Abominable","4,248","$60,716,390","Sep 27"
"227","The Croods: A New Age","2,211","$58,568,815","Nov 25"
"228","Tenet","2,930","$58,504,105","Sep 3"
"229","Midway","3,242","$56,846,802","Nov 8"
"230","Parasite","2,001","$53,369,749","Oct 11"
"231","Hubble","151","$52,522,904","Mar 19"
"232","Uncut Gems","2,686","$50,023,780","Dec 13"
"233","Wonder Woman 1984","2,218","$46,801,036","Dec 25"
"234","Deep Sea","47","$46,412,757","Mar 3"
"235","Playing with Fire","3,185","$44,451,847","Nov 8"
"236","Queen & Slim","1,715","$43,808,310","Nov 27"
"237","Harriet","2,186","$43,082,155","Nov 1"
"238","The Gentlemen","2,675","$36,471,795","Jan 24"
"239","Under the Sea 3D","108","$36,262,926","Feb 13"
"240","Just Mercy","2,457","$36,001,502","Dec 25"
"241","Last Christmas","3,454","$35,150,750","Nov 8"
"242","Jojo Rabbit","1,173","$33,370,906","Oct 18"
"243","Bombshell","1,721","$31,762,808","Dec 13"
"244","Doctor Sleep","3,855","$31,581,712","Nov 8"
"245","21 Bridges","2,665","$28,539,757","Nov 22"
"246","Fantasy Island","2,784","$27,309,289","Feb 14"
"247","Cats","3,380","$27,166,770","Dec 20"
"248","Born to Be Wild","208","$25,978,556","Apr 8"
"249","Countdown","2,675","$25,621,766","Oct 25"
"250","Judy","1,627","$24,313,888","Sep 27"
"251","The New Mutants","2,754","$23,852,659","Aug 28"
"252","Richard Jewell","2,502","$22,345,542","Dec 13"
"253","Like a Boss","3,081","$22,169,514","Jan 10"
"254","Black and Blue","2,062","$22,055,313","Oct 25"
"255","The War with Grandpa","2,365","$21,277,892","Oct 9"
"256","The Grudge","2,642","$21,221,803","Jan 3"
"257","Unhinged","2,402","$20,831,465","Aug 14"
"258","The Photograph","2,516","$20,578,185","Feb 14"
"259","Charlie's Angels","3,452","$17,803,077","Nov 15"
"260","Underwater","2,791","$17,291,078","Jan 10"
"261","The Good Liar","2,454","$17,156,058","Nov 15"
"262","A Beautiful Planet","155","$15,650,615","Apr 29"
"263","The Turning","2,571","$15,472,775","Jan 24"
"264","Gretel & Hansel","3,007","$15,347,654","Jan 31"
"265","Monster Hunter","1,817","$15,162,470","Dec 18"
"266","To the Arctic 3D","52","$14,560,838","Apr 20"
"267","Honest Thief","2,502","$14,163,574","Oct 9"
"268","My Hero Academia: Heroes Rising","1,231","$13,304,000","Feb 26"
"269","News of the World","1,986","$12,668,325","Dec 25"
"270","Brahms: The Boy II","2,151","$12,611,536","Feb 21"
"271","Bloodshot","2,861","$12,561,824","Mar 13"
"272","Island of Lemurs: Madagascar","302","$11,272,213","Apr 4"
"273","Dark Waters","2,112","$11,136,084","Nov 22"
"274","The Lighthouse","978","$10,867,104","Oct 18"
"275","Impractical Jokers: The Movie","1,900","$10,691,091","Feb 21"
"276","Come Play","2,183","$10,475,990","Oct 30"
"277","Black Christmas","2,625","$10,429,730","Dec 13"
"278","Emma.","1,732","$10,055,355","Feb 21"
"279","I Still Believe","3,250","$9,868,521","Mar 13"
"280","Let Him Go","2,458","$9,358,025","Nov 6"
"281","Freaky","2,472","$9,030,855","Nov 13"
"282","Downhill","2,311","$8,287,061","Feb 14"
"283","Weathering with You","1,020","$8,056,636","Jan 15"
"284","Promising Young Woman","1,448","$6,460,965","Dec 25"
"285","Fatale","1,222","$6,306,897","Dec 18"
"286","The Wandering Earth","129","$5,971,413","Feb 5"
"287","The Hunt","3,028","$5,812,500","Mar 13"
"288","The Rhythm Section","3,049","$5,437,971","Jan 31"
"289","Hocus Pocus2020 Re-release","2,570","$4,828,000","Oct 2"
"290","The SpongeBob Movie: Sponge on the Run","326","$4,810,790","Aug 14"
"291","Jay and Silent Bob Reboot","788","$4,589,490","Oct 15"
"292","Pain and Glory","266","$4,567,338","Oct 4"
"293","Linda Ronstadt: The Sound of My Voice","247","$4,252,657","Sep 6"
"294","The Broken Hearts Gallery","2,221","$4,067,442","Sep 11"
"295","Infidel","1,885","$4,051,990","Sep 18"
"296","Ip Man 4: The Finale","125","$3,956,031","Dec 25"
"297","Portrait of a Lady on Fire","334","$3,759,854","Dec 6"
"298","Bill & Ted Face the Music","1,007","$3,439,660","Aug 28"
"299","2020 Oscar Nominated Short Films","536","$3,306,611","Jan 31"
"300","Maiden","180","$3,168,978","Jun 28"
"301","Honey Boy","460","$3,012,615","Nov 8"
"302","The Empty Man","2,051","$2,992,948","Oct 23"
"303","My Boyfriend's Meds","350","$2,971,116","Feb 21"
"304","The Last Full Measure","617","$2,949,212","Jan 24"
"305","Words on Bathroom Walls","1,395","$2,542,518","Aug 21"
"306","Promare","701","$2,529,324","Sep 17"
"307","Star Wars: Episode V - The Empire Strikes Back2020 Re-release","2,097","$2,482,000","Jul 10"
"308","After We Collided","546","$2,386,483","Oct 23"
"309","The Nightmare Before Christmas2020 Re-release","2,194","$2,286,000","Oct 16"
"310","Half Brothers","1,386","$2,241,980","Dec 4"
"311","Elf2020 Re-release","850","$2,182,679","Nov 13"
"312","The Lodge","395","$2,138,907","Feb 7"
"313","The Personal History of David Copperfield","1,550","$1,876,298","Aug 28"
"314","Pinocchio","824","$1,831,718","Dec 25"
"315","The Wretched","101","$1,814,193","May 1"
"316","Fantastic Fungi","37","$1,788,322","Sep 20"
"317","A Hidden Life","151","$1,730,597","Dec 13"
"318","Waves","570","$1,658,790","Nov 15"
"319","The Rental","250","$1,637,548","Jul 24"
"320","Jurassic Park2020 Re-release","316","$1,386,600","Jun 19"
"321","2 Hearts","1,683","$1,349,286","Oct 16"
"322","No Safe Spaces","200","$1,291,514","Oct 25"
"323","Peninsula","151","$1,231,407","Aug 7"
"324","True to the Game 2","281","$1,200,871","Nov 6"
"325","Playmobil: The Movie","2,337","$1,115,008","Dec 6"
"326","The Assistant","25","$1,100,313","Jan 31"
"327","The Song of Names","182","$1,077,584","Dec 25"
"328","Merci pour tout","76","$1,073,969","Dec 25"
"329","Love and Monsters","387","$1,070,714","Oct 16"
"330","Relic","133","$1,047,083","Jul 3"
"331","The Tax Collector","138","$1,044,212","Aug 7"
"332","The Last Shift","886","$1,034,467","Sep 25"
"333","Becky","54","$1,004,574","Jun 5"
"334","All My Life","970","$913,935","Dec 4"
"335","Mafia Inc","85","$889,863","Feb 14"
"336","National Lampoon's Christmas Vacation2020 Re-release","620","$871,000","Nov 25"
"337","Cut Throat City","389","$855,894","Aug 21"
"338","The Goonies2020 Re-release","457","$825,000","Jul 10"
"339","Que Leones","3","$822,828","Dec 5"
"340","Sarileru Neekevvaru","300","$821,000","Jan 10"
"341","Honeyland","56","$815,082","Jul 26"
"342","Vanguard","1,375","$793,525","Nov 20"
"343","Color Out of Space","81","$765,561","Jan 24"
"344","Jaws2020 Re-release","187","$758,300","Jun 19"
"345","Possessor","320","$752,885","Oct 2"
"346","Toy Story2020 Re-release","2,102","$727,000","Nov 6"
"347","Monsters, Inc.2020 Re-release","1,875","$726,000","Oct 23"
"348","Baaghi 3","265","$721,439","Mar 6"
"349","The Polar Express2020 Re-release","450","$711,000","Dec 4"
"350","The Santa Clause2020 Re-release","1,581","$706,000","Nov 20"
"351","Patterns of Evidence: The Red Sea Miracle","807","$696,191","Feb 18"
"352","The Last Vermeer","912","$685,380","Nov 20"
"353","The Addams Family2020 Re-release","1,307","$678,926","Oct 23"
"354","100% Wolf","124","$658,764","Oct 9"
"355","Synchronic","327","$636,673","Oct 23"
"356","Neither Wolf Nor Dog","1","$606,511","Jan 20"
"357","Ghostbusters2020 Re-release","622","$605,000","Jul 3"
"358","Chhapaak","100","$604,334","Jan 10"
"359","Shortcut","704","$588,869","Sep 25"
"360","Panga","102","$582,720","Jan 24"
"361","Guardians of the Galaxy2020 Re-release","1,560","$542,000","Nov 13"
"362","Followed","100","$538,179","Jun 19"
"363","Alone","173","$537,589","Sep 18"
"364","Kajillionaire","547","$531,430","Sep 25"
"365","The Call","195","$516,521","Oct 2"
"366","The Big Ugly","68","$514,107","Jul 24"
"367","The Forgotten Carols","70","$502,252","Nov 20"
"368","Spell","369","$500,104","Oct 30"
"369","Ava","252","$497,747","Sep 25"
"370","63 Up","28","$483,684","Nov 27"
"371","The Grinch2020 Re-release","450","$473,781","Nov 27"
"372","Beauty and the Beast2020 Re-release","527","$467,000","Jul 17"
"373","Inside Out2020 Re-release","442","$460,000","Jul 10"
"374","Les Misérables: The Staged Concert","488","$459,478","Dec 6"
"375","Once Were Brothers","152","$449,561","Feb 21"
"376","Chal Mera Putt 2","0","$445,000","Mar 13"
"377","CatVideoFest 2020","84","$437,625","Feb 21"
"378","Seberg","373","$434,702","Feb 21"
"379","Iron Man2020 Re-release","462","$430,000","Jul 17"
"380","Infamous","58","$429,148","Jun 12"
"381","Killing Sarai","160","$425,332","Dec 6"
"382","How the Grinch Stole Christmas2020 Re-release","300","$420,180","Dec 4"
"383","Tulsa","192","$413,378","Aug 21"
"384","Stevie Nicks 24 Karat Gold the Concert","413","$410,265","Oct 21"
"385","Buddy Games","401","$405,904","Nov 20"
"386","She Dies Tomorrow","24","$398,663","Jul 31"
"387","Matthias & Maxime","53","$374,739","Oct 9"
"388","The Eight Hundred","142","$372,755","Aug 28"
"389","Ashfall","18","$372,562","Dec 19"
"390","Yellow Rose","900","$367,849","Oct 9"
"391","Black Panther2020 Re-release","421","$367,000","Jul 10"
"392","Clemency","127","$364,716","Dec 27"
"393","The Kid Detective","865","$364,138","Oct 16"
"394","Greed","596","$355,308","Feb 28"
"395","Ride Your Wave","605","$332,432","Feb 19"
"396","Les Misérables","69","$330,181","Jan 10"
"397","Die Hard2020 Re-release","1,172","$325,000","Dec 4"
"398","Ordinary Love","22","$323,688","Feb 14"
"399","Aquarela","69","$307,346","Aug 16"
"400","Spider-Man: No Way Home","4,336","$804,793,477","Dec 17"
"401","Shang-Chi and the Legend of the Ten Rings","4,300","$224,543,292","Sep 3"
"402","Venom: Let There Be Carnage","4,225","$213,550,366","Oct 1"
"403","Black Widow","4,275","$183,651,655","Jul 9"
"404","F9: The Fast Saga","4,203","$173,005,945","Jun 25"
"405","Eternals","4,090","$164,870,234","Nov 5"
"406","Sing 2","3,892","$162,790,990","Dec 22"
"407","No Time to Die","4,407","$160,891,007","Oct 8"
"408","A Quiet Place Part II","3,744","$160,072,261","May 28"
"409","Ghostbusters: Afterlife","4,315","$129,360,575","Nov 19"
"410","Free Guy","4,165","$121,626,598","Aug 13"
"411","Jungle Cruise","4,310","$116,987,516","Jul 30"
"412","Dune","4,125","$108,327,830","Oct 22"
"413","Godzilla vs. Kong","3,084","$100,916,094","Mar 31"
"414","Encanto","3,980","$96,093,622","Nov 24"
"415","Halloween Kills","3,727","$92,002,155","Oct 15"
"416","Cruella","3,922","$86,103,234","May 28"
"417","Space Jam: A New Legacy","4,002","$70,592,228","Jul 16"
"418","The Conjuring: The Devil Made Me Do It","3,280","$65,631,050","Jun 4"
"419","Candyman","3,569","$61,186,570","Aug 27"
"420","The Croods: A New Age","2,211","$58,568,815","Nov 25"
"421","Tenet","2,930","$58,504,105","Sep 3"
"422","The Boss Baby 2: Family Business","3,688","$57,300,280","Jul 2"
"423","The Addams Family 2","4,207","$56,489,153","Oct 1"
"424","The Suicide Squad","4,019","$55,817,425","Aug 6"
"425","Raya and the Last Dragon","2,375","$54,723,032","Mar 5"
"426","House of Gucci","3,477","$53,809,574","Nov 24"
"427","Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train","2,087","$49,505,008","Apr 23"
"428","Clifford the Big Red Dog","3,700","$48,947,356","Nov 10"
"429","Old","3,379","$48,276,510","Jul 23"
"430","Wonder Woman 1984","2,218","$46,801,036","Dec 25"
"431","Tom & Jerry","2,563","$46,536,687","Feb 26"
"432","The Forever Purge","3,058","$44,539,245","Jul 2"
"433","Mortal Kombat","3,114","$42,326,031","Apr 23"
"434","Peter Rabbit 2: The Runaway","3,346","$40,501,717","Jun 11"
"435","PAW Patrol: The Movie","3,189","$40,127,371","Aug 20"
"436","West Side Story","2,820","$38,530,322","Dec 10"
"437","Hitman's Wife's Bodyguard","3,361","$38,014,727","Jun 16"
"438","The Matrix Resurrections","3,552","$37,686,805","Dec 22"
"439","The King's Man","3,180","$37,176,373","Dec 22"
"440","Don't Breathe 2","3,005","$32,712,950","Aug 13"
"441","In the Heights","3,509","$29,975,167","Jun 11"
"442","Snake Eyes","3,540","$28,264,325","Jul 23"
"443","Nobody","2,567","$27,568,035","Mar 26"
"444","Wrath of Man","3,007","$27,466,489","May 7"
"445","American Underdog","2,813","$26,514,814","Dec 25"
"446","Escape Room: Tournament of Champions","2,815","$25,314,753","Jul 16"
"447","Respect","3,207","$24,278,399","Aug 13"
"448","Spiral","2,991","$23,216,862","May 14"
"449","Ron's Gone Wrong","3,560","$23,009,270","Oct 22"
"450","The War with Grandpa","2,365","$21,277,892","Oct 9"
"451","Spirit Untamed","3,394","$17,716,215","Jun 4"
"452","Licorice Pizza","1,977","$17,318,007","Nov 26"
"453","The Green Knight","2,798","$17,173,321","Jul 30"
"454","Resident Evil: Welcome to Raccoon City","2,803","$17,000,612","Nov 24"
"455","The French Dispatch","1,225","$16,124,375","Oct 22"
"456","The Marksman","2,018","$15,566,093","Jan 15"
"457","The Unholy","2,057","$15,532,137","Apr 2"
"458","The Little Things","2,206","$15,342,746","Jan 29"
"459","Monster Hunter","1,817","$15,162,470","Dec 18"
"460","King Richard","3,302","$15,129,285","Nov 19"
"461","Dear Evan Hansen","3,364","$15,002,646","Sep 24"
"462","Stillwater","2,611","$14,465,535","Jul 30"
"463","Christmas with the Chosen: The Messengers","1,700","$13,728,000","Dec 1"
"464","Malignant","3,501","$13,391,791","Sep 10"
"465","Chaos Walking","2,132","$13,287,908","Mar 5"
"466","News of the World","1,986","$12,668,325","Dec 25"
"467","My Hero Academia: World Heroes' Mission","1,585","$12,271,658","Oct 29"
"468","Nightmare Alley","2,145","$11,338,107","Dec 17"
"469","The Last Duel","3,065","$10,853,945","Oct 15"
"470","Antlers","2,800","$10,619,670","Oct 29"
"471","Come Play","2,183","$10,475,990","Oct 30"
"472","Cry Macho","4,022","$10,310,734","Sep 17"
"473","Last Night in Soho","3,016","$10,127,625","Oct 29"
"474","Let Him Go","2,458","$9,358,025","Nov 6"
"475","Belfast","1,255","$9,250,870","Nov 12"
"476","Freaky","2,472","$9,030,855","Nov 13"
"477","The Many Saints of Newark","3,181","$8,237,403","Oct 1"
"478","Weathering with You","1,020","$8,056,636","Jan 15"
"479","The Protégé","2,577","$7,446,823","Aug 20"
"480","Those Who Wish Me Dead","3,379","$7,407,200","May 14"
"481","The Night House","2,240","$7,100,581","Aug 20"
"482","Spencer","1,265","$7,086,632","Nov 5"
